ka_id,debet,credit
28959943,193.13,0.00
29214195,0.00,5.00
29214198,22.70,0.00
29530431,53.40,0.00
29673367,209.83,0.00
30453086,41.98,0.00
30571737,90.89,0.00
30707303,61.63,0.00
30806612,319.44,0.00
31040072,218.41,0.00
31116161,264.29,0.00
31902945,22.17,0.00
32835622,172.83,0.00
32917935,109.30,0.00
33040736,60.04,0.00
33040742,27.36,0.00
33096161,214.58,0.00
33135296,287.91,0.00
33196597,24.20,0.00
33228907,127.05,0.00
33272740,62.49,0.00
33463713,9.21,0.00
33582666,287.34,0.00
33635108,157.13,0.00
33663891,80.64,0.00
33712596,209.44,0.00
34573060,60.26,0.00
34616529,34.89,0.00
34642342,144.23,0.00
34661695,390.94,0.00
34725592,40.24,0.00
34744349,92.15,0.00
34836440,52.66,0.00
34837351,137.98,0.00
34967948,26.33,0.00
34968923,83.19,0.00
34991243,26.33,0.00
35004941,284.80,0.00
35029405,31.21,0.00
35035285,26.33,0.00
35071241,113.32,0.00
35089793,52.66,0.00
35095574,126.27,0.00
35342269,26.33,0.00
35385064,83.72,0.00
35385067,31.69,0.00
35412967,123.87,0.00
35412970,52.66,0.00
35447009,315.79,0.00
35469642,52.66,0.00
35474655,33.00,0.00
35499516,26.33,0.00
35499517,142.72,0.00
35518554,84.92,0.00
35519558,44.93,0.00
35555244,26.33,0.00
35562797,59.91,0.00
35653506,187.49,0.00
37306104,87.92,0.00
37313178,26.33,0.00
37324086,55.91,0.00
37381725,78.99,0.00
37383384,59.51,0.00
37403685,82.02,0.00
37425570,33.34,0.00
37425573,125.05,0.00
37425576,125.05,0.00
37425579,125.05,0.00
37432401,45.08,0.00
37462152,60.02,0.00
37480845,0.00,86.01
37493007,34.46,0.00
37551093,271.97,0.00
37573633,137.49,0.00
37585229,58.59,0.00
37592803,23.49,0.00
37629647,23.49,0.00
37646711,44.46,0.00
37646713,0.00,5.00
37646715,92.46,0.00
37663990,45.65,0.00
37673773,29.64,0.00
37679431,0.00,5.00
37679433,86.90,0.00
37702542,28.49,0.00
37706365,29.64,0.00
37708507,122.22,0.00
37733218,84.97,0.00
37747025,29.64,0.00
37750138,23.97,0.00
37759127,0.00,5.00
37759129,23.97,0.00
37807113,29.64,0.00
37807116,161.73,0.00
37829598,114.10,0.00
37845479,29.64,0.00
37850792,59.90,0.00
37877360,41.57,0.00
37884966,29.64,0.00
37888511,99.05,0.00
37907347,24.58,0.00
37917573,29.64,0.00
37927797,98.58,0.00
